               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057389,            0.036168,           0.0064903,             0.66536,             0.47899,             0.54074,             0.33599,            0.044878,            0.014964,           0.0019283,            0.070008,           0.0033325,           0.0033325
                   1,            0.047088,            0.032611,           0.0025911,             0.69078,             0.48742,             0.56762,             0.35914,             0.04335,            0.014493,           0.0020138,            0.039995,           0.0066526,           0.0066526
                   2,            0.046826,            0.032643,           0.0026976,             0.67388,             0.52147,             0.58618,             0.36715,            0.042404,            0.014466,           0.0015754,           0.0099681,           0.0099595,           0.0099595
                   3,            0.046252,            0.032952,           0.0025457,             0.66651,             0.53055,             0.60636,             0.38398,            0.041397,            0.014088,           0.0011964,           0.0099406,           0.0099406,           0.0099406
                   4,            0.044062,            0.031543,           0.0022074,              0.7085,             0.53062,             0.62403,             0.40242,            0.040179,             0.01381,           0.0010797,           0.0099406,           0.0099406,           0.0099406
                   5,            0.042911,            0.031063,           0.0019968,             0.68639,             0.57221,             0.64138,             0.41549,            0.039648,            0.013611,           0.0011119,           0.0099208,           0.0099208,           0.0099208
                   6,            0.042014,            0.030502,           0.0018657,             0.69763,             0.58746,             0.65956,             0.42848,            0.038702,            0.013409,          0.00094425,            0.009901,            0.009901,            0.009901
                   7,            0.041481,            0.030275,           0.0017537,              0.7026,              0.6033,             0.67404,             0.43987,            0.038129,            0.013308,          0.00095898,           0.0098812,           0.0098812,           0.0098812
                   8,            0.040599,            0.029705,           0.0016412,             0.71913,             0.61128,             0.68663,             0.44934,            0.037615,            0.013169,          0.00087592,           0.0098614,           0.0098614,           0.0098614
                   9,            0.040022,            0.029627,            0.001662,             0.71587,             0.62237,             0.69386,             0.45608,            0.037229,            0.013105,          0.00088475,           0.0098416,           0.0098416,           0.0098416
                  10,            0.039437,            0.029183,           0.0015565,             0.72826,             0.62013,             0.69773,             0.46088,            0.036894,            0.013073,          0.00086063,           0.0098218,           0.0098218,           0.0098218
                  11,            0.039169,            0.028892,           0.0015647,              0.7193,              0.6392,             0.70404,             0.46573,            0.036638,             0.01302,          0.00085793,            0.009802,            0.009802,            0.009802
                  12,            0.038697,            0.028733,           0.0015321,             0.72134,             0.64042,             0.70718,             0.46929,            0.036369,             0.01295,           0.0008395,           0.0097822,           0.0097822,           0.0097822
                  13,            0.038372,            0.028417,           0.0014713,             0.72368,             0.63998,             0.70908,             0.47193,            0.036174,            0.012948,          0.00083591,           0.0097624,           0.0097624,           0.0097624
                  14,            0.038041,            0.028227,           0.0014535,             0.73478,             0.63744,             0.71186,             0.47516,            0.035999,            0.012926,           0.0008235,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037653,            0.028041,           0.0014554,             0.73789,             0.63955,             0.71454,             0.47777,            0.035856,            0.012896,          0.00080747,           0.0097228,           0.0097228,           0.0097228
                  16,            0.037253,            0.027933,           0.0013743,             0.73671,             0.64437,             0.71618,             0.47983,            0.035729,            0.012864,          0.00080323,            0.009703,            0.009703,            0.009703
                  17,            0.037029,             0.02763,           0.0014261,             0.74319,             0.64059,             0.71794,             0.48196,            0.035636,            0.012842,          0.00079709,           0.0096832,           0.0096832,           0.0096832
                  18,            0.036761,            0.027518,           0.0013881,             0.74146,             0.64393,             0.71927,             0.48386,            0.035553,            0.012824,          0.00079857,           0.0096634,           0.0096634,           0.0096634
                  19,            0.036604,            0.027509,           0.0013711,             0.74305,             0.64498,             0.72072,             0.48599,            0.035467,            0.012795,          0.00079366,           0.0096436,           0.0096436,           0.0096436
                  20,            0.036296,            0.027292,           0.0013087,             0.74413,             0.64553,              0.7225,             0.48794,             0.03539,            0.012769,          0.00078853,           0.0096238,           0.0096238,           0.0096238
                  21,            0.036007,            0.026965,           0.0012927,              0.7387,             0.65432,             0.72468,             0.49011,            0.035311,            0.012734,          0.00078457,            0.009604,            0.009604,            0.009604
                  22,            0.035712,            0.027088,           0.0013025,             0.74314,             0.65601,             0.72653,             0.49179,            0.035215,            0.012702,           0.0007778,           0.0095842,           0.0095842,           0.0095842
                  23,            0.035525,            0.026856,           0.0013109,              0.7353,             0.66338,             0.72794,             0.49397,            0.035106,             0.01267,          0.00077318,           0.0095644,           0.0095644,           0.0095644
                  24,            0.035475,            0.026866,            0.001284,             0.73972,             0.66303,             0.73044,             0.49636,            0.035009,            0.012636,          0.00076713,           0.0095446,           0.0095446,           0.0095446
                  25,            0.035245,            0.026637,           0.0012611,             0.74203,             0.66588,              0.7328,             0.49835,             0.03492,            0.012609,          0.00076056,           0.0095248,           0.0095248,           0.0095248
                  26,            0.034916,            0.026414,           0.0012457,             0.74161,             0.66847,             0.73473,             0.50031,            0.034821,            0.012581,          0.00075535,            0.009505,            0.009505,            0.009505
